
matrixupdate 0.000000 matrix 0.000000, up: 0.000000, left 0.000000, right 0.000000, downright 0.000000, down 0.000000, downleft 0.000000

matrixupdate 0.000261 matrix 0.000000, up: 0.000000, left 0.072200, right 0.000000, downright 0.000000, down 0.000000, downleft 0.000000

matrixupdate 0.000781 matrix 0.000261, up: 0.001043, left 0.143892, right 0.000000, downright 0.000261, down 0.000000, downleft 0.000000

matrixupdate 0.001560 matrix 0.000781, up: 0.003088, left 0.215076, right 0.000001, downright 0.000785, down 0.000004, downleft 0.000001

matrixupdate 0.002597 matrix 0.001560, up: 0.006099, left 0.285749, right 0.000004, downright 0.001575, down 0.000015, downleft 0.000004

matrixupdate 0.003890 matrix 0.002597, up: 0.010038, left 0.355912, right 0.000010, downright 0.002633, down 0.000037, downleft 0.000009

matrixupdate 0.005437 matrix 0.003890, up: 0.014869, left 0.425563, right 0.000019, downright 0.003961, down 0.000074, downleft 0.000019

matrixupdate 0.007236 matrix 0.005437, up: 0.020560, left 0.494703, right 0.000034, downright 0.005559, down 0.000129, downleft 0.000033

matrixupdate 0.009286 matrix 0.007236, up: 0.027076, left 0.563331, right 0.000054, downright 0.007430, down 0.000205, downleft 0.000053

matrixupdate 0.011585 matrix 0.009286, up: 0.034387, left 0.631448, right 0.000082, downright 0.009573, down 0.000305, downleft 0.000079

matrixupdate 0.014130 matrix 0.011585, up: 0.042461, left 0.699055, right 0.000118, downright 0.011989, down 0.000433, downleft 0.000113

matrixupdate 0.016919 matrix 0.014130, up: 0.051270, left 0.766152, right 0.000162, downright 0.014678, down 0.000592, downleft 0.000155

matrixupdate 0.019950 matrix 0.016919, up: 0.060784, left 0.832741, right 0.000217, downright 0.017639, down 0.000784, downleft 0.000206

matrixupdate 0.023219 matrix 0.019950, up: 0.070977, left 0.898822, right 0.000283, downright 0.020873, down 0.001013, downleft 0.000268

matrixupdate 0.026725 matrix 0.023219, up: 0.081821, left 0.964398, right 0.000362, downright 0.024378, down 0.001280, downleft 0.000341

matrixupdate 0.030464 matrix 0.026725, up: 0.093292, left 1.029469, right 0.000454, downright 0.028153, down 0.001590, downleft 0.000425

matrixupdate 0.034435 matrix 0.030464, up: 0.105365, left 1.094038, right 0.000560, downright 0.032198, down 0.001944, downleft 0.000523

matrixupdate 0.038633 matrix 0.034435, up: 0.118016, left 1.158106, right 0.000681, downright 0.036511, down 0.002345, downleft 0.000634

matrixupdate 0.043057 matrix 0.038633, up: 0.131223, left 1.221675, right 0.000818, downright 0.041090, down 0.002796, downleft 0.000760

matrixupdate 0.047702 matrix 0.043057, up: 0.144963, left 1.284749, right 0.000973, downright 0.045934, down 0.003298, downleft 0.000901

matrixupdate 0.052567 matrix 0.047702, up: 0.159214, left 1.347328, right 0.001146, downright 0.051041, down 0.003854, downleft 0.001058

matrixupdate 0.057648 matrix 0.052567, up: 0.173957, left 1.409416, right 0.001339, downright 0.056409, down 0.004466, downleft 0.001233

matrixupdate 0.062942 matrix 0.057648, up: 0.189171, left 1.471015, right 0.001551, downright 0.062036, down 0.005136, downleft 0.001425

matrixupdate 0.068446 matrix 0.062942, up: 0.204838, left 1.532128, right 0.001785, downright 0.067918, down 0.005866, downleft 0.001636

matrixupdate 0.074157 matrix 0.068446, up: 0.220939, left 1.592757, right 0.002040, downright 0.074055, down 0.006658, downleft 0.001866

matrixupdate 0.080072 matrix 0.074157, up: 0.237456, left 1.652906, right 0.002319, downright 0.080444, down 0.007514, downleft 0.002116

matrixupdate 0.086187 matrix 0.080072, up: 0.254372, left 1.712577, right 0.002621, downright 0.087082, down 0.008435, downleft 0.002387

matrixupdate 0.092499 matrix 0.086187, up: 0.271670, left 1.771773, right 0.002947, downright 0.093965, down 0.009423, downleft 0.002680

matrixupdate 0.099006 matrix 0.092499, up: 0.289334, left 1.830498, right 0.003299, downright 0.101093, down 0.010480, downleft 0.002995

matrixupdate 0.105703 matrix 0.099006, up: 0.307350, left 1.888755, right 0.003677, downright 0.108461, down 0.011607, downleft 0.003333

matrixupdate 0.112589 matrix 0.105703, up: 0.325701, left 1.946546, right 0.004082, downright 0.116066, down 0.012805, downleft 0.003695

matrixupdate 0.119659 matrix 0.112589, up: 0.344373, left 2.003875, right 0.004515, downright 0.123907, down 0.014077, downleft 0.004081

matrixupdate 0.126911 matrix 0.119659, up: 0.363353, left 2.060746, right 0.004976, downright 0.131979, down 0.015422, downleft 0.004492

matrixupdate 0.134341 matrix 0.126911, up: 0.382627, left 2.117162, right 0.005466, downright 0.140280, down 0.016843, downleft 0.004929

matrixupdate 0.141946 matrix 0.134341, up: 0.402183, left 2.173125, right 0.005985, downright 0.148806, down 0.018341, downleft 0.005392

matrixupdate 0.149723 matrix 0.141946, up: 0.422006, left 2.228641, right 0.006536, downright 0.157555, down 0.019916, downleft 0.005882

matrixupdate 0.157669 matrix 0.149723, up: 0.442087, left 2.283711, right 0.007117, downright 0.166522, down 0.021569, downleft 0.006399

matrixupdate 0.165781 matrix 0.157669, up: 0.462412, left 2.338340, right 0.007729, downright 0.175706, down 0.023302, downleft 0.006945

matrixupdate 0.174056 matrix 0.165781, up: 0.482970, left 2.392531, right 0.008374, downright 0.185102, down 0.025116, downleft 0.007519

matrixupdate 0.182490 matrix 0.174056, up: 0.503752, left 2.446288, right 0.009052, downright 0.194707, down 0.027011, downleft 0.008123

matrixupdate 0.191082 matrix 0.182490, up: 0.524745, left 2.499614, right 0.009763, downright 0.204519, down 0.028987, downleft 0.008756

matrixupdate 0.199826 matrix 0.191082, up: 0.545940, left 2.552513, right 0.010508, downright 0.214533, down 0.031047, downleft 0.009420

matrixupdate 0.208722 matrix 0.199826, up: 0.567327, left 2.604988, right 0.011288, downright 0.224746, down 0.033190, downleft 0.010114

matrixupdate 0.217765 matrix 0.208722, up: 0.588897, left 2.657043, right 0.012102, downright 0.235156, down 0.035416, downleft 0.010840

matrixupdate 0.226952 matrix 0.217765, up: 0.610641, left 2.708682, right 0.012951, downright 0.245758, down 0.037728, downleft 0.011597

